Alliance,OG,Secret,Liquid,KG,PSG.LGD,RNG,VG,VP,Na`Vi,Mineski,TNC,Fnatic,EG,Newbee,Infamous
3.577733484,3.612746695,2.500770999,1.623282123,1.922665496,3.19460914,2.382888846,3.115241558,3.725044124,1.740229375,2.750127442,4.063311103,3.791633977,1.640065304,3.919956455,1.659896607
1.664694696,2.510229138,2.751572089,1.536277462,3.296839631,3.490030303,1.530390053,3.17206623,3.005525825,3.31207329,3.73919241,2.788001358,3.28734739,1.959974678,4.235103379,1.72571046
3.501084967,3.190847999,2.495174557,4.071018023,1.676459813,3.091328665,2.131223896,3.437706329,2.976526762,3.454292767,1.689736437,2.711062666,1.533319923,2.402738467,3.488310679,2.683176725
3.090317715,2.685796706,3.075518267,2.943779267,1.949724348,3.789019131,3.142107826,4.587054393,2.317219208,2.951695926,2.068154437,1.742583793,1.547795077,3.839831464,3.081216012,1.972948679
2.36006624,3.39118389,3.114113794,1.624078569,2.927932996,1.864041793,2.025007808,2.944675597,2.547740771,3.891493629,3.076769865,4.579640153,2.340416409,1.557557002,1.500518577,2.882038097
3.542490599,2.709607256,3.02306947,1.742551409,3.072121778,3.462978396,1.637887059,2.949116328,2.106547703,3.259732297,1.57977121,1.51345734,3.120510242,2.280920277,3.035692847,1.676121215
3.423946396,3.153341408,3.230129243,2.227646828,1.997381347,3.115799636,1.42291702,3.215177838,1.54551146,3.372238519,4.166232974,3.505783026,2.605680122,3.754277906,3.640733819,2.3810326
3.523638355,2.536477937,3.372408101,3.365770757,1.593217038,3.384601678,2.272716753,3.465490898,2.062585671,3.495304589,3.018602872,1.448936251,2.316571421,3.22084444,1.707698261,2.59335906
2.816193128,3.951077126,3.702143387,2.377012024,1.581956434,3.151429504,3.032117443,2.987740293,1.458746069,3.077577663,1.588524495,1.819878201,2.523564786,2.879442404,3.522830343,1.966354629
3.606777954,3.251803891,2.163969345,2.244906695,2.10773842,3.138405678,3.10550548,1.964772307,1.541848079,3.149853806,1.504559073,3.378806818,2.75030978,3.157852417,1.83207913,3.378240184
1.808595044,2.982289469,3.402259018,2.685048814,2.819256494,3.657169321,3.553310439,2.840984569,2.791127032,1.808509472,1.384459726,1.631273019,2.110706299,3.085687595,4.162733208,2.383442603
3.352640618,3.443888738,2.17951048,2.219944577,3.518845359,3.442382846,3.096702669,1.564835497,3.18846676,2.089667285,3.070517021,3.554067778,2.472782391,1.994579144,2.120952463,2.579511146
1.843351822,3.305675939,1.566874426,3.723164812,3.010298497,3.375879841,2.47621692,3.144693055,1.68279192,1.688878406,2.810952077,4.154131882,2.528555543,3.019203702,4.227882173,2.904814832
2.989832714,2.91974912,2.135528495,3.205770898,3.605340762,3.263721061,1.724022405,3.427960506,2.999536367,2.485528499,2.364605178,3.423486631,3.714332381,2.461571,3.407006959,1.850136762
3.374915078,1.827741802,2.750747947,2.834211667,2.200925949,1.713024944,2.570846016,3.726708134,3.279780343,1.727190062,3.034876725,5.051236025,1.86956332,3.570021393,1.840511521,1.431610286
1.350632164,2.833362252,1.988257993,1.468490345,2.065186047,3.337321051,2.001649925,2.500600409,3.026785804,1.581161487,1.629025252,3.732716025,3.074732443,2.850060807,3.906472225,2.78974312
2.548035896,3.417368511,2.285741573,3.222755892,2.028172125,3.288629442,2.61500894,3.363445994,1.959856033,2.590591902,3.525325098,2.633582282,2.275915431,3.399440489,1.752467759,2.977030204
