Alliance,CHAOS,EG,Fnatic,Infamous,KG,Liquid,Mineski,Na`Vi,Newbee,NiP,OG,PSG.LGD,RNG,Secret,TNC,VG,VP
3.577733484,1.616084728,1.640065304,3.791633977,1.659896607,1.922665496,1.623282123,2.750127442,1.740229375,3.919956455,1.784472,3.612746695,3.19460914,2.382888846,2.500770999,4.063311103,3.115241558,3.725044124
1.664694696,1.72942679,1.959974678,3.28734739,1.72571046,3.296839631,1.536277462,3.73919241,3.31207329,4.235103379,2.131984535,2.510229138,3.490030303,1.530390053,2.751572089,2.788001358,3.17206623,3.005525825
3.501084967,1.378100167,2.402738467,1.533319923,2.683176725,1.676459813,4.071018023,1.689736437,3.454292767,3.488310679,3.541573591,3.190847999,3.091328665,2.131223896,2.495174557,2.711062666,3.437706329,2.976526762
3.090317715,1.560870424,3.839831464,1.547795077,1.972948679,1.949724348,2.943779267,2.068154437,2.951695926,3.081216012,1.736528868,2.685796706,3.789019131,3.142107826,3.075518267,1.742583793,4.587054393,2.317219208
2.36006624,2.70944032,1.557557002,2.340416409,2.882038097,2.927932996,1.624078569,3.076769865,3.891493629,1.500518577,2.335077307,3.39118389,1.864041793,2.025007808,3.114113794,4.579640153,2.944675597,2.547740771
3.542490599,1.791674114,2.280920277,3.120510242,1.676121215,3.072121778,1.742551409,1.57977121,3.259732297,3.035692847,2.45701762,2.709607256,3.462978396,1.637887059,3.02306947,1.51345734,2.949116328,2.106547703
3.423946396,1.281442366,3.754277906,2.605680122,2.3810326,1.997381347,2.227646828,4.166232974,3.372238519,3.640733819,1.887590562,3.153341408,3.115799636,1.42291702,3.230129243,3.505783026,3.215177838,1.54551146
3.523638355,2.291768356,3.22084444,2.316571421,2.59335906,1.593217038,3.365770757,3.018602872,3.495304589,1.707698261,1.869384618,2.536477937,3.384601678,2.272716753,3.372408101,1.448936251,3.465490898,2.062585671
2.816193128,1.837913541,2.879442404,2.523564786,1.966354629,1.581956434,2.377012024,1.588524495,3.077577663,3.522830343,1.760543192,3.951077126,3.151429504,3.032117443,3.702143387,1.819878201,2.987740293,1.458746069
3.606777954,1.596333679,3.157852417,2.75030978,3.378240184,2.10773842,2.244906695,1.504559073,3.149853806,1.83207913,2.164158807,3.251803891,3.138405678,3.10550548,2.163969345,3.378806818,1.964772307,1.541848079
1.808595044,2.228131005,3.085687595,2.110706299,2.383442603,2.819256494,2.685048814,1.384459726,1.808509472,4.162733208,1.724511437,2.982289469,3.657169321,3.553310439,3.402259018,1.631273019,2.840984569,2.791127032
3.352640618,4.144793673,1.994579144,2.472782391,2.579511146,3.518845359,2.219944577,3.070517021,2.089667285,2.120952463,4.427658342,3.443888738,3.442382846,3.096702669,2.17951048,3.554067778,1.564835497,3.18846676
1.843351822,1.215726911,3.019203702,2.528555543,2.904814832,3.010298497,3.723164812,2.810952077,1.688878406,4.227882173,1.553885985,3.305675939,3.375879841,2.47621692,1.566874426,4.154131882,3.144693055,1.68279192
2.989832714,1.973503707,2.461571,3.714332381,1.850136762,3.605340762,3.205770898,2.364605178,2.485528499,3.407006959,3.203692848,2.91974912,3.263721061,1.724022405,2.135528495,3.423486631,3.427960506,2.999536367
3.374915078,1.585826185,3.570021393,1.86956332,1.431610286,2.200925949,2.834211667,3.034876725,1.727190062,1.840511521,1.623243872,1.827741802,1.713024944,2.570846016,2.750747947,5.051236025,3.726708134,3.279780343
1.350632164,2.714685474,2.850060807,3.074732443,2.78974312,2.065186047,1.468490345,1.629025252,1.581161487,3.906472225,2.067496036,2.833362252,3.337321051,2.001649925,1.988257993,3.732716025,2.500600409,3.026785804
