match_id,team_tag,region,team_slot,score_gap_scaled,xp_gap_scaled,gold_adv_scaled,total_dmg_scaled,total_heal_scaled,total_kda_scaled,total_wards_scaled,total_score
4967600837,KG,China,radiant,0.227272727,0.187096065,0.219536305,0.508568498,0.082969679,0.097222222,0.6,1.922665496
4967600837,TNC,Southeast Asia,dire,0.772727273,0.812903935,0.780463695,0.653933779,0.026615755,0.416666667,0.6,4.063311103
4967601481,PSG.LGD,China,radiant,0.712121212,0.580107749,0.569728046,0.217540613,0.001222632,0.763888889,0.35,3.19460914
4967601481,CHAOS,Europe,dire,0.287878788,0.419892251,0.430271954,0.129436163,0.031938906,0.041666667,0.275,1.616084728
4967601727,Liquid,Europe,radiant,0.136363636,0.090407855,0.416939488,0.366700487,0.0323151,0.055555556,0.525,1.623282123
4967601727,Newbee,North America,dire,0.863636364,0.909592145,0.583060512,0.420672175,0.09299526,0.5,0.55,3.919956455
4967602648,Secret,Europe,radiant,0.333333333,0.473309101,0.41415918,0.577707411,0.021706418,0.180555556,0.5,2.500770999
4967602648,Alliance,Europe,dire,0.666666667,0.526690899,0.58584082,0.58433773,0.400308479,0.263888889,0.55,3.577733484
4967642360,CHAOS,Europe,radiant,0.257575758,0.33719806,0.384777297,0.206290626,0.088029494,0.055555556,0.4,1.72942679
4967642360,PSG.LGD,China,dire,0.742424242,0.66280194,0.615222703,0.281141872,0.138439546,0.625,0.425,3.490030303
4967652141,Secret,Europe,radiant,0.681818182,0.523765942,0.519172945,0.156016903,0.009687006,0.611111111,0.25,2.751572089
4967652141,Alliance,Europe,dire,0.318181818,0.476234058,0.480827055,0.102312807,0.006583402,0.055555556,0.225,1.664694696
4967654870,Newbee,North America,radiant,0.863636364,0.837167187,0.626741996,0.338510483,0.360714017,0.708333333,0.5,4.235103379
4967654870,Liquid,Europe,dire,0.136363636,0.162832813,0.373258004,0.313780583,0.019486871,0.055555556,0.475,1.536277462
4967655141,KG,China,radiant,0.454545455,0.505198319,0.704665821,0.732386357,0.002821458,0.222222222,0.675,3.296839631
4967655141,TNC,Southeast Asia,dire,0.545454545,0.494801681,0.295334179,0.550613788,0.03235272,0.194444444,0.675,2.788001358
